Node,Eigenvector
health,0.24050088534499903
stress,0.2199229287057921
result,0.21846062886245612
support,0.20863260755234997
depression,0.20854992260939262
student,0.20561039611258777
disorder,0.1939547491399967
outcome,0.1932419448450941
anxiety,0.18041424451089125
medical,0.1640449856190108
