Node,Betweenness
health,0.07983580333961429
support,0.07527237457806914
result,0.049604155283517554
disorder,0.04716105097530199
participant,0.04711781266289091
anxiety,0.0444009691422543
depression,0.0423532033288962
outcome,0.04074309891509158
stress,0.03520839615396736
condition,0.03210235264520187
