Node,Closeness
health,0.5936116293965301
result,0.5839200109574032
stress,0.5768564624377571
depression,0.569961763683521
disorder,0.5677000106530309
support,0.5654561370931374
student,0.5610211869982892
anxiety,0.5610211869982892
outcome,0.5566552633640613
medical,0.5418954647142566
